id,logged_at,sport_key,event_id,event_name,commence_time,market,outcome_name,bet_to_place,target_bookmaker,target_odds,target_odds_fractional,target_odds_american,reference_fair_odds,edge,reference_bookmakers,stake,matchbook_event_id,matchbook_market_id,matchbook_runner_id,liquidity_status,available_at_or_above_target,best_back_odds,best_back_available,best_lay_odds,best_lay_available,back_lay_spread_pct,status,closing_checked_at,closing_target_odds,target_clv,beat_closing_line,closing_reference_fair_odds,closing_edge,positive_closing_edge,result,profit
11,2026-08-13T19:49:03.842612+00:00,soccer_conmebol_copa_sudamericana,e72550103b740fd8b9b9b900fa9c1d87,Santos v Macará,2026-08-13T22:00:00+00:00,h2h,Macará,Back Macará with Smarkets at 10 (9/1)+,Smarkets,10.0000,9/1,+900,9.3544,0.0498,"1xBet, 888sport, Betfair, Betfred (UK), Casumo, Codere (IT), Coolbet, Coral, LeoVegas, LeoVegas (SE), LiveScore Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Unibet (FR), Unibet (NL), Unibet (UK), Virgin Bet, William Hill",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
16,2026-08-13T19:49:03.842612+00:00,soccer_conmebol_copa_libertadores,dd06fab13c4861592da993d2d742c27b,Mirassol v LDU Quito,2026-08-13T22:00:00+00:00,h2h,LDU Quito,Back LDU Quito with Betfair at 6.6 (28/5)+,Betfair,6.6000,28/5,+560,6.2248,0.0423,"1xBet, 888sport, BetOnline.ag, Betclic (FR), Betfair Sportsbook, Betfred (UK), Betsson, Betway, Casumo, Codere (IT), Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Smarkets, Suprabets, Tipico, Unibet (FR), Unibet (NL), Unibet (UK), Virgin Bet, William Hill",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
21,2026-08-13T19:49:03.842612+00:00,soccer_conmebol_copa_sudamericana,154087d9648994908d9fd4dcf6d28d37,Vasco da Gama v Olimpia Asunción,2026-08-13T22:00:00+00:00,h2h,Olimpia Asunción,Back Olimpia Asunción with Smarkets at 5.6 (23/5)+,Smarkets,5.6000,23/5,+460,5.3631,0.0270,"1xBet, 888sport, Betfair, Betfred (UK), Casumo, Codere (IT), Coolbet, Coral, LeoVegas, LeoVegas (SE), LiveScore Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Unibet (FR), Unibet (NL), Virgin Bet, William Hill",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
1,2026-08-13T19:49:03.842612+00:00,basketball_wnba,9a2fa5d20edb2bc7e2ce1298cb3d5348,Connecticut Sun v Atlanta Dream,2026-08-13T23:00:00+00:00,h2h,Connecticut Sun,Back Connecticut Sun with Matchbook at 5.5 (9/2)+,Matchbook,5.5000,9/2,+450,4.9184,0.1000,"888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betfair, Betsson, Betway, BoyleSports, Coolbet, GTbets, LeoVegas, LeoVegas (SE), MyBookie.ag, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Unibet (NL), Unibet (SE), Unibet (UK)",1.00,,,,not_matched,0.00,,0.00,,0.00,,open,,,,,,,,,
2,2026-08-13T19:49:03.842612+00:00,cricket_caribbean_premier_league,17f6e36d023de83e55fbf7e3dfa97599,Jamaica Kingsmen v Guyana Amazon Warriors,2026-08-14T00:00:00+00:00,h2h,Guyana Amazon Warriors,Back Guyana Amazon Warriors with Betfair at 1.77 (77/100)+,Betfair,1.7700,77/100,-130,1.6174,0.0848,"Bet Victor, Betano (UK), Betway, BoyleSports, Casumo, Coral, Grosvenor, Ladbrokes, LeoVegas (SE), LiveScore Bet, Marathon Bet, Unibet (SE), Virgin Bet",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
8,2026-08-13T19:49:03.842612+00:00,basketball_wnba,adc6dd060846838773f87fb71bbbad5d,New York Liberty v Los Angeles Sparks,2026-08-14T00:00:00+00:00,h2h,Los Angeles Sparks,Back Los Angeles Sparks with Betfair at 4.3 (33/10)+,Betfair,4.3000,33/10,+330,4.0160,0.0543,"1xBet, 888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betsson, Betway, BoyleSports, Coolbet, GTbets, LeoVegas, LeoVegas (SE), Matchbook, MyBookie.ag, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Unibet (NL), Unibet (SE), Unibet (UK)",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
12,2026-08-13T19:49:03.842612+00:00,cricket_test_match,55def038039788499dd3878f87b22388,Australia v Bangladesh,2026-08-14T00:30:00+00:00,h2h,Draw,Back Draw with Betfair at 36 (35/1)+,Betfair,36.0000,35/1,+3500,33.7153,0.0470,"Betfair Sportsbook, Betway, Casumo, Grosvenor, LeoVegas (SE), LiveScore Bet, Paddy Power, Unibet (SE), Virgin Bet",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
20,2026-08-13T19:49:03.842612+00:00,soccer_finland_veikkausliiga,02b111014da2ac0a7f4a6ae59f732e80,VPS Vaasa v TPS Turku,2026-08-14T15:00:00+00:00,h2h,TPS Turku,Back TPS Turku with Betfair at 5.3 (43/10)+,Betfair,5.3000,43/10,+430,5.0676,0.0289,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Matchbook, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
4,2026-08-13T19:49:03.842612+00:00,soccer_austria_bundesliga,758b0daefc6f97c8db3facf89737c183,LASK v Ried,2026-08-14T17:30:00+00:00,h2h,Ried,Back Ried with Smarkets at 6.4 (27/5)+,Smarkets,6.4000,27/5,+540,5.9337,0.0604,"1xBet, 888sport, BetOnline.ag, Betclic (FR), Betfair, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas (SE), LiveScore Bet, Matchbook, Nordic Bet, PMU (FR), Pinnacle, Sky Bet, Suprabets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
3,2026-08-13T19:49:03.842612+00:00,soccer_turkey_super_league,5df50503e8cb89c43d21bf9d7ced1aab,Galatasaray v Çorum FK,2026-08-14T18:30:00+00:00,h2h,Çorum FK,Back Çorum FK with Smarkets at 15.5 (29/2)+,Smarkets,15.5000,29/2,+1450,14.0819,0.0801,"BetOnline.ag, Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, Casumo, Codere (IT), Coolbet, GTbets, Grosvenor, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Sky Bet, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet",1.00,,,,not_applicable,0.00,,0.00,,0.00,,open,,,,,,,,,
